序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
1,600036,招商银行,公司简评报告：息差下行趋缓，出清弹性渐显,买入,东海证券,3,6.14,6.23,6.33,6.05,6.56,5.83,银行Ⅱ,2026-05-05,https://pdf.dfcfw.com/pdf/H3_AP202605051821966955_1.pdf
2,600036,招商银行,点评报告：营收增速改善,增持,万联证券,3,6.06,6.35,6.26,6.15,6.67,5.77,银行Ⅱ,2026-04-30,https://pdf.dfcfw.com/pdf/H3_AP202604301821852643_1.pdf
3,600036,招商银行,2026年一季报点评：客群优势深化，财富管理亮眼,增持,国信证券,3,5.89,6.73,6.19,6.4,6.61,5.99,银行Ⅱ,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821731872_1.pdf
4,600036,招商银行,招商银行2025年年报点评：息差单季回升，资产质量平稳,买入,太平洋,3,,,,,,,银行Ⅱ,2026-04-15,https://pdf.dfcfw.com/pdf/H3_AP202604151821220760_1.pdf
5,600036,招商银行,公司简评报告：息差压力缓解，财富管理修复延续,增持,东海证券,3,6.08,6.41,6.3,6.19,6.53,5.97,银行Ⅱ,2026-04-08,https://pdf.dfcfw.com/pdf/H3_AP202604081821071531_1.pdf
6,600036,招商银行,2025年年报点评：4Q25息差企稳回升，核心营收增速改善,买入,东兴证券,3,6.11,6.5,6.36,6.25,6.69,5.94,银行Ⅱ,2026-04-07,https://pdf.dfcfw.com/pdf/H3_AP202604071821047374_1.pdf
7,600036,招商银行,2025年报点评：业绩底部明确，攻守兼备优质标的,增持,国信证券,3,5.89,6.7,6.19,6.37,6.61,5.97,银行Ⅱ,2026-03-29,https://pdf.dfcfw.com/pdf/H3_AP202603291820836506_1.pdf
8,600036,招商银行,2025年业绩快报点评：业绩底部明确，估值具备吸引力,增持,国信证券,3,5.92,6.34,6.22,6.03,,,银行Ⅱ,2026-01-25,https://pdf.dfcfw.com/pdf/H3_AP202601251818397680_1.pdf
9,600036,招商银行,公司简评报告：业绩寻底，红利与价值属性兼备,增持,东海证券,3,6.12,6.91,6.36,6.66,,,银行Ⅱ,2026-01-05,https://pdf.dfcfw.com/pdf/H3_AP202601051815463064_1.pdf
10,600036,招商银行,2025年三季报点评：财富管理回暖延续，优质客群优势强化,增持,国信证券,3,6.05,6.88,6.48,6.42,,,银行Ⅱ,2025-10-30,https://pdf.dfcfw.com/pdf/H3_AP202510301771734353_1.pdf
11,600036,招商银行,点评报告：单季业绩增速回正，中期分红方案落地,增持,万联证券,3,6.08,7.14,6.41,6.77,,,银行Ⅱ,2025-09-04,https://pdf.dfcfw.com/pdf/H3_AP202509041738727373_1.pdf
12,600036,招商银行,2025年半年报点评：2025Q2归母净利润增速由负转正，存款成本继续优化,买入,东莞证券,3,6.2,6.91,6.53,6.57,,,银行Ⅱ,2025-09-01,https://pdf.dfcfw.com/pdf/H3_AP202509011737740300_1.pdf
13,600036,招商银行,2025年半年报点评：业绩改善，客户优势不断深化,增持,国信证券,3,6.05,7.12,6.48,6.64,,,银行Ⅱ,2025-09-01,https://pdf.dfcfw.com/pdf/H3_AP202509011737603572_1.pdf
14,600036,招商银行,2025年一季报点评：归母净利润同比小幅下滑，存款成本继续优化,买入,东莞证券,3,,,,,,,银行Ⅱ,2025-05-05,https://pdf.dfcfw.com/pdf/H3_AP202505051667974462_1.pdf
15,600036,招商银行,财富管理开局良好，其他非息拖累营收,买入,华安证券,3,5.99,6.8,6.18,6.59,,,银行Ⅱ,2025-05-03,https://pdf.dfcfw.com/pdf/H3_AP202505031666868512_1.pdf
